date_utc,lead,status,right_0_3_bipolar_ohm,right_0_3idx_ohm
1774555892.0,LEAD_B33015,INVESTIGATE,3892.0,4643.0
1774577416.0,LEAD_B33015,INVESTIGATE,3972.0,4828.0
1774643004.0,LEAD_B33015,INVESTIGATE,3196.0,4592.0
1774653729.0,LEAD_B33015,INVESTIGATE,3443.0,4744.0
1774664576.0,LEAD_B33015,INVESTIGATE,3544.0,4628.0
1774715106.0,LEAD_B33015,INVESTIGATE,3675.0,4356.0
1774735290.0,LEAD_B33015,INVESTIGATE,3660.0,3983.0
1774808358.0,LEAD_B33015,INVESTIGATE,4092.0,4371.0
1774822861.0,LEAD_B33015,INVESTIGATE,4240.0,4414.0
1774885726.0,LEAD_B33015,INVESTIGATE,4160.0,4320.0
1774904566.0,LEAD_B33015,INVESTIGATE,4331.0,4284.0
1774918005.0,LEAD_B33015,INVESTIGATE,4099.0,4015.0
1774988665.0,LEAD_B33015,GOOD,4099.0,4276.0
1774990665.0,LEAD_B33015,INVESTIGATE,4081.0,4396.0
1775057224.0,LEAD_B33015,INVESTIGATE,4313.0,4501.0
1775083970.0,LEAD_B33015,INVESTIGATE,4334.0,4258.0
1775142991.0,LEAD_B33015,INVESTIGATE,4193.0,4447.0
1775162089.0,LEAD_B33015,INVESTIGATE,4276.0,4302.0
1775229542.0,LEAD_B33015,INVESTIGATE,4490.0,5005.0
1775252894.0,LEAD_B33015,INVESTIGATE,4530.0,5074.0
1775269509.0,LEAD_B33015,INVESTIGATE,4639.0,5205.0
1775321995.0,LEAD_B33015,INVESTIGATE,4603.0,5277.0
1775355443.0,LEAD_B33015,INVESTIGATE,4704.0,5281.0
1775402449.0,LEAD_B33015,INVESTIGATE,4316.0,4878.0
1775421217.0,LEAD_B33015,INVESTIGATE,4393.0,4878.0
1775488780.0,LEAD_B33015,INVESTIGATE,4316.0,5009.0
1775509234.0,LEAD_B33015,INVESTIGATE,4422.0,5031.0
1775571309.0,LEAD_B33015,GOOD,4603.0,5024.0
1775603131.0,LEAD_B33015,INVESTIGATE,4349.0,4755.0
1775617039.0,LEAD_B33015,INVESTIGATE,4545.0,4813.0
1775664825.0,LEAD_B33015,INVESTIGATE,3950.0,4378.0
1775691749.0,LEAD_B33015,INVESTIGATE,4099.0,4494.0
1775757716.0,LEAD_B33015,INVESTIGATE,4233.0,4606.0
1775763339.0,LEAD_B33015,INVESTIGATE,4440.0,4766.0
1775783425.0,LEAD_B33015,INVESTIGATE,4610.0,4871.0
1775839608.0,LEAD_B33015,INVESTIGATE,4331.0,4657.0
1775854637.0,LEAD_B33015,INVESTIGATE,4527.0,4708.0
1775867522.0,LEAD_B33015,INVESTIGATE,4447.0,4694.0
1775926174.0,LEAD_B33015,INVESTIGATE,4400.0,4980.0
1775940400.0,LEAD_B33015,INVESTIGATE,4538.0,4882.0
1776021748.0,LEAD_B33015,INVESTIGATE,3776.0,3856.0
1776045624.0,LEAD_B33015,INVESTIGATE,3986.0,4066.0
1776094717.0,LEAD_B33015,INVESTIGATE,3914.0,3928.0
1776117785.0,LEAD_B33015,INVESTIGATE,4124.0,3961.0
1776132857.0,LEAD_B33015,GOOD,4044.0,3928.0
1776180422.0,LEAD_B33015,GOOD,3704.0,3888.0
1776206111.0,LEAD_B33015,GOOD,3631.0,3950.0
1776282857.0,LEAD_B33015,INVESTIGATE,3943.0,3980.0
1776299378.0,LEAD_B33015,INVESTIGATE,4052.0,4033.0
1776363283.0,LEAD_B33015,GOOD,2326.0,2964.0
1776443423.0,LEAD_B33015,INVESTIGATE,2790.0,3602.0
1776468264.0,LEAD_B33015,INVESTIGATE,3225.0,3791.0
1776475792.0,LEAD_B33015,INVESTIGATE,3298.0,3907.0
1776524786.0,LEAD_B33015,INVESTIGATE,3704.0,4266.0
1776545743.0,LEAD_B33015,INVESTIGATE,3921.0,4099.0
1776610980.0,LEAD_B33015,INVESTIGATE,4073.0,4527.0
1776700101.0,LEAD_B33015,INVESTIGATE,4262.0,4519.0
1776802299.0,LEAD_B33015,INVESTIGATE,4291.0,4523.0
1776874952.0,LEAD_B33015,INVESTIGATE,4378.0,4606.0
1776963109.0,LEAD_B33015,INVESTIGATE,4353.0,4639.0
1776989302.0,LEAD_B33015,INVESTIGATE,4461.0,4483.0
1777054443.0,LEAD_B33015,INVESTIGATE,4273.0,4447.0
