metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_RIGHT,16.5,14.0,19.0,73,29,34,39,-0.14937008873826338,0.20720766804561627,-0.187659,-0.27789203739402624,0.5353061328903388
nrs,ONE_THREE_RIGHT,17.5,15.0,20.0,73,29,34,39,-0.08910406923928957,0.4534604082536852,-0.08233916,-0.13197090671005773,0.7812884148512068
nrs,ONE_THREE_RIGHT,18.5,16.0,21.0,73,29,34,39,-0.04974931278016199,0.6759610941580445,-0.124467574,-0.20108645917175627,0.6572309969558874
nrs,ONE_THREE_RIGHT,19.5,17.0,22.0,73,29,34,39,-0.07819785298512812,0.5107957339301101,-0.12947184,-0.20464640973327689,0.6503245020339559
nrs,ONE_THREE_RIGHT,20.5,18.0,23.0,73,29,34,39,-0.0610328300335535,0.6079912220842393,-0.16229555,-0.2783020651406541,0.5460759133167394
nrs,ONE_THREE_RIGHT,21.5,19.0,24.0,73,29,34,39,-0.025735875806734646,0.8288879926498975,-0.1187928,-0.210013253961427,0.6659804485143881
nrs,ONE_THREE_RIGHT,22.5,20.0,25.0,73,29,34,39,-0.0732744837356419,0.5378411379553375,-0.23863542,-0.4173493193997411,0.42721987505874204
nrs,ONE_THREE_RIGHT,23.5,21.0,26.0,73,29,34,39,-0.11105262705820315,0.3496054769571145,-0.29881844,-0.5124376026767653,0.3510034218676502
nrs,ONE_THREE_RIGHT,24.5,22.0,27.0,73,29,34,39,-0.09888818989274942,0.40520514000644714,-0.34998724,-0.6206310173389458,0.30017733966973204
nrs,ONE_THREE_RIGHT,25.5,23.0,28.0,73,29,34,39,-0.12682805534297795,0.2849609835887311,-0.37661636,-0.6328724170030889,0.2330488494536973
nrs,ONE_THREE_RIGHT,26.5,24.0,29.0,73,29,34,39,-0.11969919820643947,0.31312288752051026,-0.3284481,-0.5399215741214831,0.27703580340542855
nrs,ONE_THREE_RIGHT,27.5,25.0,30.0,73,29,34,39,-0.15225167823155297,0.19847861297386063,-0.42375058,-0.6923865818486482,0.17036978571316597
