metric,channel,peak_center,band_lo,band_hi,run_lo,run_hi,run_width,r,cohens_d,p_logit,q_logit,n,n_ratings
mpq_sum,ZERO_THREE_LEFT,66.5,64.0,69.0,62.5,74.5,13,-0.4303369694973234,-1.0634444,0.01255729584871831,0.11616623150663823,86,36
mpq_sum,ZERO_THREE_LEFT,84.5,82.0,87.0,84.5,84.5,1,-0.4266576027689355,-0.8051859,0.013971210969511734,0.11738500818122503,86,36
mpq_sum,ZERO_TWO_LEFT,85.5,83.0,88.0,84.5,86.5,3,-0.43207850022380095,-0.8174646,0.01510059788303689,0.11738500818122503,79,36
mpq_sum,ONE_THREE_LEFT,54.5,52.0,57.0,53.5,62.5,10,-0.3914965536279202,-0.8853729,0.01669958193598715,0.12097030470465402,90,40
mpq_sum,ZERO_TWO_RIGHT,74.5,72.0,77.0,73.5,77.5,5,-0.2597470345213245,-0.6552242,0.01860202343063715,0.12097030470465402,73,31
mpq_sum,ONE_THREE_LEFT,6.5,4.0,9.0,6.5,17.5,12,-0.45067825316288357,-0.98452526,0.019113114661100838,0.12097030470465402,90,40
mpq_sum,ZERO_THREE_RIGHT,20.5,18.0,23.0,19.5,24.5,6,-0.2549079288781794,-0.64100033,0.019539752812533687,0.12097030470465402,116,49
mpq_sum,ZERO_THREE_LEFT,92.5,90.0,95.0,92.5,92.5,1,-0.3812446611435824,-0.7032592,0.01990196303508509,0.12097030470465402,86,36
mpq_sum,ZERO_TWO_RIGHT,38.5,36.0,41.0,37.5,39.5,3,-0.32586322055934996,-0.7629037,0.020907432033058723,0.1236262219689557,73,31
mpq_sum,ZERO_THREE_RIGHT,47.5,45.0,50.0,42.5,53.5,12,-0.20707114168058308,-0.6447029,0.02226134017662266,0.1236262219689557,116,49
mpq_sum,ZERO_THREE_LEFT,57.5,55.0,60.0,48.5,57.5,10,-0.392328624203552,-1.0236887,0.02657123815587376,0.13126080293569112,86,36
mpq_sum,ZERO_TWO_RIGHT,71.5,69.0,74.0,71.5,71.5,1,-0.2281465475205348,-0.547939,0.02777810521343609,0.13241603949549832,73,31
mpq_sum,ZERO_TWO_RIGHT,35.5,33.0,38.0,35.5,35.5,1,-0.27440987076336043,-0.59447527,0.032131807580463384,0.13898874906898115,73,31
mpq_sum,ZERO_THREE_LEFT,59.5,57.0,62.0,59.5,59.5,1,-0.35187140285302065,-0.7383138,0.03506345972892663,0.1417783371647903,86,36
mpq_sum,ONE_THREE_LEFT,65.5,63.0,68.0,65.5,68.5,4,-0.33273039183025344,-0.76124215,0.03589486266678295,0.14196091071231903,90,40
mpq_sum,ZERO_THREE_RIGHT,55.5,53.0,58.0,55.5,55.5,1,-0.23331808269573087,-0.5555991,0.04110489301445667,0.15113926724106047,116,49
mpq_sum,ZERO_TWO_LEFT,97.5,95.0,100.0,97.5,97.5,1,-0.3277101568850997,-0.64860874,0.04126045343518083,0.15113926724106047,79,36
mpq_sum,ZERO_TWO_RIGHT,53.5,51.0,56.0,53.5,57.5,5,-0.28800916487557976,-0.6100023,0.042022612912503365,0.15121109198512245,73,31
