channel,t_psd,center_hz,psd_bandpower_uV2,lsb_nearest,offset_s
ZERO_THREE_RIGHT,1765323872.0,26.4,1.202741460089055,54.0,46863.0
ZERO_THREE_RIGHT,1765324115.0,26.4,1.202741460089055,54.0,46620.0
ZERO_THREE_RIGHT,1765386936.0,26.4,1.1479443131393907,69.0,0.0
ZERO_THREE_RIGHT,1765387094.0,26.4,1.0931471661897265,69.0,-158.0
ZERO_THREE_RIGHT,1765387548.0,26.4,1.1479443131393907,68.0,-12.0
ZERO_THREE_RIGHT,1765387696.0,26.4,1.0931471661897265,68.0,-160.0
ZERO_THREE_RIGHT,1765388150.0,26.4,1.1479443131393907,65.0,-14.0
ZERO_THREE_RIGHT,1765388154.0,26.4,1.0931471661897265,65.0,-18.0
ZERO_THREE_RIGHT,1765388154.0,26.4,1.0931471661897265,65.0,-18.0
ZERO_THREE_RIGHT,1765388397.0,26.4,1.0931471661897265,65.0,-261.0
ZERO_THREE_RIGHT,1765388608.0,26.4,1.1479443131393907,65.0,-472.0
ZERO_THREE_RIGHT,1765388608.0,26.4,1.1479443131393907,65.0,-472.0
ZERO_THREE_RIGHT,1765388851.0,26.4,1.1479443131393907,65.0,-715.0
ZERO_THREE_RIGHT,1765418868.0,26.4,1.0937063207504376,48.0,6044.0
ZERO_THREE_RIGHT,1765419470.0,26.4,1.0937063207504376,48.0,5442.0
ZERO_THREE_RIGHT,1765419928.0,26.4,1.0937063207504376,48.0,4984.0
ZERO_THREE_RIGHT,1765419928.0,26.4,1.0937063207504376,48.0,4984.0
ZERO_THREE_RIGHT,1765420171.0,26.4,1.0937063207504376,48.0,4741.0
ZERO_THREE_RIGHT,1765420783.0,26.4,1.0383500192400625,48.0,4129.0
ZERO_THREE_RIGHT,1765421395.0,26.4,1.0383500192400625,48.0,3517.0
ZERO_THREE_RIGHT,1765421997.0,26.4,1.0383500192400625,48.0,2915.0
ZERO_THREE_RIGHT,1765422455.0,26.4,1.0383500192400625,48.0,2457.0
ZERO_THREE_RIGHT,1765422455.0,26.4,1.0383500192400625,48.0,2457.0
ZERO_THREE_RIGHT,1765422698.0,26.4,1.0383500192400625,48.0,2214.0
ZERO_THREE_RIGHT,1765467673.0,26.4,0.8745177329517813,55.0,-760.0
ZERO_THREE_RIGHT,1765467848.0,26.4,0.9293148799014453,55.0,-935.0
ZERO_THREE_RIGHT,1765468275.0,26.4,0.8745177329517813,55.0,-1362.0
ZERO_THREE_RIGHT,1765468450.0,26.4,0.9293148799014453,55.0,-1537.0
ZERO_THREE_RIGHT,1765468733.0,26.4,0.8745177329517813,55.0,-1820.0
ZERO_THREE_RIGHT,1765468908.0,26.4,0.9293148799014453,55.0,-1995.0
ZERO_THREE_RIGHT,1765468908.0,26.4,0.9293148799014453,55.0,-1995.0
ZERO_THREE_RIGHT,1765468976.0,26.4,0.8745177329517813,55.0,-2063.0
ZERO_THREE_RIGHT,1765469151.0,26.4,0.9293148799014453,55.0,-2238.0
ZERO_THREE_RIGHT,1765506610.0,26.4,0.9841120268511093,52.0,3506.0
ZERO_THREE_RIGHT,1765506816.0,26.4,1.0937063207504376,52.0,3300.0
ZERO_THREE_RIGHT,1765507212.0,26.4,0.9841120268511093,52.0,2904.0
ZERO_THREE_RIGHT,1765507418.0,26.4,1.0937063207504376,52.0,2698.0
ZERO_THREE_RIGHT,1765507670.0,26.4,0.9841120268511093,52.0,2446.0
ZERO_THREE_RIGHT,1765507670.0,26.4,0.9841120268511093,52.0,2446.0
ZERO_THREE_RIGHT,1765507876.0,26.4,1.0937063207504376,52.0,2240.0
ZERO_THREE_RIGHT,1765507876.0,26.4,1.0937063207504376,52.0,2240.0
ZERO_THREE_RIGHT,1765507913.0,26.4,0.9841120268511093,52.0,2203.0
ZERO_THREE_RIGHT,1765508119.0,26.4,1.0937063207504376,52.0,1997.0
ZERO_THREE_RIGHT,1765558499.0,26.4,0.9841120268511094,60.0,66.0
ZERO_THREE_RIGHT,1765558911.0,26.4,1.2027414600890547,60.0,-193.0
ZERO_THREE_RIGHT,1765559111.0,26.4,0.9841120268511094,60.0,-393.0
ZERO_THREE_RIGHT,1765559513.0,26.4,1.2027414600890547,60.0,-795.0
ZERO_THREE_RIGHT,1765559713.0,26.4,0.9841120268511094,60.0,-995.0
ZERO_THREE_RIGHT,1765559971.0,26.4,1.2027414600890547,60.0,-1253.0
ZERO_THREE_RIGHT,1765559971.0,26.4,1.2027414600890547,60.0,-1253.0
ZERO_THREE_RIGHT,1765560171.0,26.4,0.9841120268511094,60.0,-1453.0
ZERO_THREE_RIGHT,1765560171.0,26.4,0.9841120268511094,60.0,-1453.0
ZERO_THREE_RIGHT,1765560214.0,26.4,1.2027414600890547,60.0,-1496.0
