survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,20.5,0.443839,2.30157
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,21.5,0.451548,2.17356
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,22.5,0.295851,2.05305
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,23.5,0.301883,1.80261
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,24.5,0.284818,1.49464
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,25.5,0.25156,1.11453
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,26.5,0.201127,0.875687
2025-07-16T19:47:09Z,ONE_THREE_RIGHT,27.5,0.159384,0.654973
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,7.5,4.20195,22.5297
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,8.5,2.68699,15.8034
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,9.5,1.83497,10.1239
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,10.5,0.909837,4.99935
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,11.5,0.654432,3.13769
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,12.5,0.557001,2.54411
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,13.5,0.47867,2.08396
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,14.5,0.34129,1.73214
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,15.5,0.270565,1.3643
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,16.5,0.178565,1.07622
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,17.5,0.172398,0.855703
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,18.5,0.16564,0.791527
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,19.5,0.18228,0.821445
2025-07-16T19:47:09Z,ONE_TWO_RIGHT,20.5,0.208965,0.976748
